Timestamp,CPU1 (%),CPU2 (%),CPU3 (%),CPU4 (%),GPU (%),Temp SOC0 (°C),Temp CPU (°C),Temp GPU (°C)
2025-04-22 02:06:34,57,48,61,49,0.0,46.281,46.687,47.312
2025-04-22 02:06:45,61,48,51,61,0.0,46.281,46.593,47.25
2025-04-22 02:06:56,53,55,53,58,15.7,46.375,46.718,47.5
2025-04-22 02:07:07,60,62,58,52,0.0,46.312,46.968,47.343
2025-04-22 02:07:18,59,60,62,51,33.5,46.375,47.0,47.375
2025-04-22 02:07:29,57,57,50,54,0.0,46.281,47.031,47.343
2025-04-22 02:07:40,68,54,46,50,0.0,46.531,47.093,47.156
2025-04-22 02:07:51,59,48,55,49,36.6,46.187,47.0,47.562
2025-04-22 02:08:02,65,53,57,50,15.1,46.25,46.75,47.468
2025-04-22 02:08:14,53,48,46,71,0.0,46.343,46.593,47.218
2025-04-22 02:08:25,50,53,45,65,0.0,46.406,46.968,47.406
2025-04-22 02:08:36,59,47,49,54,0.0,46.343,46.593,47.312
2025-04-22 02:08:47,59,52,54,54,0.0,46.437,46.687,47.343
2025-04-22 02:08:58,56,49,64,47,0.0,46.187,46.875,47.593
2025-04-22 02:09:09,57,59,58,54,34.7,46.25,47.0,47.343
2025-04-22 02:09:20,55,56,56,49,0.0,46.343,47.062,47.25
2025-04-22 02:09:32,53,54,52,57,0.0,46.218,46.75,47.531
2025-04-22 02:09:43,64,54,49,46,33.2,46.281,46.75,47.593
2025-04-22 02:09:53,62,63,54,50,62.9,46.437,46.968,47.5
2025-04-22 02:10:04,61,51,50,56,0.0,46.593,47.0,47.25
2025-04-22 02:10:16,58,44,37,45,0.0,46.375,46.718,47.625
2025-04-22 02:10:26,60,66,52,61,0.0,46.437,46.718,47.687
2025-04-22 02:10:38,60,53,57,54,0.0,46.281,46.656,47.218
2025-04-22 02:10:49,59,57,57,56,0.0,46.593,46.75,47.531
2025-04-22 02:11:00,58,54,51,57,30.0,46.312,46.687,47.343
2025-04-22 02:11:11,53,49,63,51,62.6,46.437,47.031,47.281
2025-04-22 02:11:21,49,56,52,54,26.2,46.281,46.656,47.062
2025-04-22 02:11:33,52,55,59,58,61.8,46.531,46.906,47.687
2025-04-22 02:11:44,57,56,69,57,42.3,46.281,46.75,47.562
2025-04-22 02:11:55,52,63,47,55,0.0,46.218,46.937,47.5
2025-04-22 02:12:05,57,50,59,62,0.0,46.406,46.562,47.5
2025-04-22 02:12:17,58,55,54,62,11.2,46.343,46.75,47.187
2025-04-22 02:12:28,54,52,62,54,0.0,46.406,46.593,47.406
2025-04-22 02:12:39,60,55,60,64,8.0,46.468,46.718,47.531
2025-04-22 02:12:50,51,58,56,58,56.1,46.406,46.656,47.531
2025-04-22 02:13:01,62,49,51,61,0.0,46.593,46.656,47.718
2025-04-22 02:13:12,50,55,45,55,0.0,46.281,46.968,47.25
2025-04-22 02:13:23,65,53,50,62,0.0,46.281,46.812,47.312
2025-04-22 02:13:34,63,53,57,57,0.0,46.312,46.906,47.375
2025-04-22 02:13:45,56,53,57,56,0.0,46.218,46.718,47.25
2025-04-22 02:13:56,71,50,56,60,0.0,46.343,46.875,47.562
2025-04-22 02:14:07,59,60,57,66,7.7,46.375,46.843,47.562
2025-04-22 02:14:18,56,48,59,56,9.3,46.343,46.75,47.187
2025-04-22 02:14:29,64,64,66,61,0.0,46.343,46.75,47.531
2025-04-22 02:14:40,49,50,65,49,0.0,46.375,46.906,47.375
2025-04-22 02:14:51,50,50,60,68,0.0,46.562,47.093,47.562
2025-04-22 02:15:03,53,48,59,54,0.0,46.218,46.625,47.562
2025-04-22 02:15:14,56,47,58,54,0.0,46.312,46.656,47.531
2025-04-22 02:15:25,63,57,50,50,43.5,46.187,46.656,47.312
2025-04-22 02:15:36,56,51,56,61,57.0,46.375,46.625,47.281
2025-04-22 02:15:47,69,44,57,46,0.0,46.375,46.968,47.312
2025-04-22 02:15:58,59,62,60,56,0.0,46.281,46.75,47.343
2025-04-22 02:16:09,54,68,54,60,0.0,46.281,46.5,47.312
